,dbi,bad_id,virtual_group,same_matrix_ids,same_production_sequence_ids,similar_design_ids,reference_object_ids,reference_copy_ids,reference_work_ids,supplemental_ids
0,abel.A.P1,abel.a,abel,,,,,,,
1,abel.A.P2,abel.a,abel,,,,,,,
2,ahania.A.P1,ahania.a,ahania,,,,,,,
3,ahania.A.P2,ahania.a,ahania,,,,,,,
4,ahania.A.P3,ahania.a,ahania,,,,,,,
5,ahania.A.P4,ahania.a,ahania,,,,,,,
6,ahania.A.P5,ahania.a,ahania,,,,,,,
7,ahania.A.P6,ahania.a,ahania,,,,,,,
8,america.A.P1,america.a,america,,,,,,,
9,america.A.P2,america.a,america,,,,,,,
10,america.A.P3,america.a,america,,,,,,,
11,america.A.P4,america.a,america,,,,,,,
12,america.A.P5,america.a,america,,,,,,,
13,america.A.P6,america.a,america,,,,,,,
14,america.A.P7,america.a,america,,,,,,,
15,america.A.P8,america.a,america,,,,,,,
16,america.A.P9,america.a,america,,,,,,,
17,america.A.P10,america.a,america,,,,,,,
18,america.A.P11,america.a,america,,,,,,,
19,america.A.P12,america.a,america,,,,,,,
20,america.A.P13,america.a,america,,,,,,,
21,america.A.P14,america.a,america,,,,,,,
22,america.A.P15,america.a,america,,,,,,,
23,america.A.P16,america.a,america,,,,,,,
24,america.A.P17,america.a,america,,,,,,,
25,america.A.P18,america.a,america,,,,,,,
26,america.B.P1,america.b,america,,,,,,,
27,america.B.P2,america.b,america,,,,,,,
28,america.B.P3,america.b,america,,,,,,,
29,america.B.P4,america.b,america,,,,,,,
30,america.B.P5,america.b,america,,,,,,,
31,america.B.P6,america.b,america,,,,,,,
32,america.B.P7,america.b,america,,,,,,,
33,america.B.P8,america.b,america,,,,,,,
34,america.B.P9,america.b,america,,,,,,,
35,america.B.P10,america.b,america,,,,,,,
36,america.B.P11,america.b,america,,,,,,,
37,america.B.P12,america.b,america,,,,,,,
38,america.B.P13,america.b,america,,,,,,,
39,america.B.P14,america.b,america,,,,,,,
40,america.B.P15,america.b,america,,,,,,,
41,america.B.P16,america.b,america,,,,,,,
42,america.B.P17,america.b,america,,,,,,,
43,america.B.P18,america.b,america,,,,,,,
44,america.E.P1,america.e,america,,,,,,,
45,america.E.P2,america.e,america,,,,,,,
46,america.E.P3,america.e,america,,,,,,,
47,america.E.P4,america.e,america,,,,,,,
48,america.E.P5,america.e,america,,,,,,,
49,america.E.P6,america.e,america,,,,,,,
50,america.E.P7,america.e,america,,,,,,,
51,america.E.P8,america.e,america,,,,,,,
52,america.E.P9,america.e,america,,,,,,,
53,america.E.P10,america.e,america,,,,,,,
54,america.E.P11,america.e,america,,,,,,,
55,america.E.P12,america.e,america,,,,,,,
56,america.E.P13,america.e,america,,,,,,,
57,america.E.P14,america.e,america,,,,,,,
58,america.E.P15,america.e,america,,,,,,,
59,america.E.P16,america.e,america,,,,,,,
60,america.E.P17,america.e,america,,,,,,,
61,america.E.P18,america.e,america,,,,,,,
62,america.F.P1,america.f,america,,,,,,,
63,america.F.P2,america.f,america,,,,,,,
64,america.F.P3,america.f,america,,,,,,,
65,america.F.P4,america.f,america,,,,,,,
66,america.F.P5,america.f,america,,,,,,,
67,america.F.P6,america.f,america,,,,,,,
68,america.F.P7,america.f,america,,,,,,,
69,america.F.P8,america.f,america,,,,,,,
70,america.F.P9,america.f,america,,,,,,,
71,america.F.P10,america.f,america,,,,,,,
72,america.F.P11,america.f,america,,,,,,,
