bad_id,dbi
aro.a,aro.A.P2
nnr.b,nnr.B.P1-a1
nnr.c,nnr.C.P2-a2
nnr.g,nnr.G.P2-a2
nnr.l,nnr.L.P2-a2
s-inn.b,s-inn.B.P2-3
s-inn.g,s-inn.g.P2-3
s-inn.l,s-inn.l.P2-3
s-inn.u,s-inn.U.P1-3
thel.b,thel.b.P2
thel.d,thel.D.P2
thel.g,thel.G.P2
thel.h,thel.H.P2
thel.i,thel.i.P2
thel.j,thel.J.P2
thel.l,thel.l.P2
thel.r,thel.r.P2
thel.f,thel.F.P2
thel.n,thel.N.P1-2
thel.o,thel.O.P1-2
mhh.k,mhh.K.P21
mhh.l,mhh.L.P1-25
mhh.m,mhh.M.P1-25
mhh.b,mhh.b.P1
mhh.c,mhh.C.P1
mhh.h,mhh.H.P1
mhh.e,mhh.e.P1
mhh.f,mhh.F.P1
mhh.d,mhh.D.P1
mhh.g,mhh.G.P1
mhh.i,mhh.I.P1
vda.a-proof,vda.a.proof.P2
vda.a,vda.A.P1-2
vda.b,vda.B.P2
vda.c,vda.C.P2
vda.e,vda.e.P2
vda.h,vda.h.P2
vda.i,vda.i.P2
vda.j,vda.J.P2
vda.f,vda.F.P2
vda.g,vda.G.P1-2
vda.o,vda.O.P2
vda.p,vda.P.P2
gates-child.d,gates-child.D.P2
america.e,america.E.P2
america.f,america.F.P2
america.i,america.I.P2
america.a,america.A.P2
america.b,america.B.P2
america.m,america.M.P2
america.o,america.O.P2
songsie.b,songsie.B.P1
songsie.c,songsie.C.P2-1
songsie.f,songsie.F.P2-3
songsie.e,songsie.e.P1
songsie.l,songsie.L.P2-1
songsie.n,songsie.n.P1-29
songsie.r,songsie.R.P1
songsie.t,songsie.T.P1
songsie.v,songsie.V.P1
songsie.y,songsie.Y.P1
songsie.z,songsie.Z.P1
songsie.aa,songsie.AA.P1
europe.b,europe.B.P2
europe.d,europe.D.P2
europe.e,europe.E.P2
europe.g,europe.g.P2
europe.a,europe.a.P2
europe.h,europe.H.P2
europe.k,europe.K.P2
urizen.a,urizen.A.P1
urizen.c,urizen.C.P1
urizen.f,urizen.F.P1
urizen.d,urizen.D.P1
urizen.b,urizen.B.P1
urizen.g,urizen.G.P1
s-los.a,s-los.A.P2
s-los.b,s-los.B.P2
s-los.c,s-los.c.P3-2
s-los.d,s-los.D.P2
s-los.e,s-los.e.P2
b-los.a,b-los.A.P2
ahania.a,ahania.A.P2
milton.a,milton.A.P1
milton.b,milton.b.P1
milton.c,milton.C.P1
milton.d,milton.D.P1
jerusalem.e,jerusalem.E.P2
gates-sexes.d,gates-sexes.D.P2
homer.b,homer.B.P1
homer.f,homer.F.P1
abel.a,abel.A.P1
laocoon.b,laocoon.B.P1
bb514.3,bb514.3.1.COM
bb514.2,bb514.2.1.COM
bb515.1,BB515.1.1.COM
bb515.2,BB515.2.1.COM
bb470.1,bb470.1.1.COM
bb470.2,BB470.2.1.COM
bb470.3,BB470.fitzproof.3.COM
bb466.2,BB466.2.1.COM
bb465.2,BB465.2.1.COM
bb504.2,BB504.2.5.COM
bb435.1,BB435.1.1.COM
bb499.1,BB499.1.1.COM
bb499.2,BB499.2.1.COM
bb467.1,BB467.1.1.COM
bb468.1,BB468.1.1.COM
bb471.1,BB471.1.1.COM
bb469.1,BB469.1.1.COM
bb456.1,BB456.1.1.COM
bb85.a,BB85.A.1.PS
bb136.a,BB136.A.1.PS
bb421.1,BB421.1.2-1.PS
bb448.1,BB448.1.2-1.PS
but769.1,but769.1.1.WD
but557.1,BUT557.1.1-I.PD
but244.1,BUT244.1.1.WD
but335.1,BUT335.1.1.WC
but527.1,BUT527.1.1.WC
butwba10.1,BUTWBA10.1.1.WC
but550.1,BUT550.1.1.WC
but529.1,BUT529.1.1.WC
but536.1,BUT536.1.1.WC
but538.1,BUT538.1.1.WC
but528.1,BUT528.1.1.WC
but542.1,BUT542.1.1.WC
but544.1,BUT544.1.1.WC
but551.1,BUT551.1.1.WC
but537.1,BUT537.1.1.WC
but812.1,BUT812.1.1.WC
bb74.1,BB74.1.1.MS
bb126.1,bb126.1.1.MS
bb125.1,BB125.1.1.MS
but519.1,BUT519.1.1.WC
but448.1,BUT448.1.1.WC
