desc id,3rd level of relatedness,In the Archive
nnr.l.illbk.10,but306.1.cprint.01,Yes
nnr.l.illbk.10,but307.1.cprint.01,Yes
mhh.b.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.c.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.h.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.e.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.f.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.d.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.g.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.i.illbk.24,"but301.1.cprint.01,but302.1.cprint.01,but303.1.cprint.01",Yes
mhh.b.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.c.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.h.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.e.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.f.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.d.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.g.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.i.illbk.04,"but323.1.cprint.01,but324.1.cprint.01",Yes
mhh.k.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.b.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.c.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.h.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.e.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.f.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.d.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.g.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
mhh.i.illbk.01,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
gates-child.d.illbk.17,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.e.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.f.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.i.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.a.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.b.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.m.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.o.illbk.08,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.e.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.f.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.i.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.a.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.b.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.m.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
america.o.illbk.14,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
gates-sexes.d.illbk.17,"esxiii.1.spb.01,butwba10.1.wc.16",Yes
bb515.1.comb.12,but612.1.wd.01,Yes
bb515.1.comb.12,but611.1.wc.01,Yes
bb515.1.comb.12,butwba10.1.wc.01,Yes
bb515.1.comb.12,bb435.1.comdes.02,Yes
bb515.1.comb.12,but614r.1.penc.01,Yes
bb515.2.comb.12,but612.1.wd.01,Yes
bb515.2.comb.12,but611.1.wc.01,Yes
bb515.2.comb.12,butwba10.1.wc.01,Yes
bb515.2.comb.12,bb435.1.comdes.02,Yes
bb515.2.comb.12,but614r.1.penc.01,Yes
bb466.2.comb.12,bb465.2.comb.01,Yes
bb466.2.comb.06,bb465.2.comb.02,Yes
bb466.2.comb.09,bb465.2.comb.03,Yes
bb435.1.comdes.12,"mhh.k.illbk.01,mhh.b.illbk.21,mhh.c.illbk.21,mhh.h.illbk.21,mhh.e.illbk.21,mhh.f.illbk.21,mhh.d.illbk.21,mhh.g.illbk.21,mhh.i.illbk.21",Yes
bb435.1.comdes.12,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08",Yes
bb435.1.comdes.12,gates-child.d.illbk.17,Yes
bb435.1.comdes.12,gates-sexes.d.illbk.17,Yes
bb435.1.comdes.12,"america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
bb435.1.comdes.08,but638.1.wc.01,Yes
bb435.1.comdes.02,bb515.1.comb.12,Yes
but461.1.wc.01,bb421.1.spb.15,Yes
but146.1.wc.01,but550.1.wc.02,Yes
bb421.1.spb.04,but146.1.wc.01,Yes
bb421.1.spb.22,but394.1.pt.01,Yes
bb421.1.spb.03,but550.1.wc.01,Yes
bb421.1.spb.04,but550.1.wc.02,Yes
bb421.1.spb.05,but550.1.wc.03,Yes
bb421.1.spb.06,but550.1.wc.04,Yes
bb421.1.spb.07,but550.1.wc.05,Yes
bb421.1.spb.08,but550.1.wc.06,Yes
bb421.1.spb.09,but550.1.wc.07,Yes
bb421.1.spb.10,but550.1.wc.08,Yes
bb421.1.spb.11,but550.1.wc.09,Yes
bb421.1.spb.12,but550.1.wc.10,Yes
bb421.1.spb.13,but550.1.wc.11,Yes
bb421.1.spb.14,but550.1.wc.12,Yes
bb421.1.spb.15,but550.1.wc.13,Yes
bb421.1.spb.16,but550.1.wc.14,Yes
bb421.1.spb.17,but550.1.wc.15,Yes
bb421.1.spb.18,but550.1.wc.16,Yes
bb421.1.spb.19,but550.1.wc.17,Yes
bb421.1.spb.20,but550.1.wc.18,Yes
bb421.1.spb.21,but550.1.wc.19,Yes
bb421.1.spb.22,but550.1.wc.20,Yes
bb421.1.spb.23,but550.1.wc.21,Yes
bb421.1.spb.03,but551.1.wc.01,Yes
bb421.1.spb.04,but551.1.wc.02,Yes
bb421.1.spb.05,but551.1.wc.03,Yes
bb421.1.spb.06,but551.1.wc.04,Yes
bb421.1.spb.07,but551.1.wc.05,Yes
bb421.1.spb.08,but551.1.wc.06,Yes
bb421.1.spb.09,but551.1.wc.07,Yes
bb421.1.spb.10,but551.1.wc.08,Yes
bb421.1.spb.11,but551.1.wc.09,Yes
bb421.1.spb.12,but551.1.wc.10,Yes
bb421.1.spb.13,but551.1.wc.11,Yes
bb421.1.spb.14,but551.1.wc.12,Yes
bb421.1.spb.15,but551.1.wc.13,Yes
bb421.1.spb.16,but551.1.wc.14,Yes
bb421.1.spb.17,but551.1.wc.15,Yes
bb421.1.spb.18,but551.1.wc.16,Yes
bb421.1.spb.19,but551.1.wc.17,Yes
bb421.1.spb.20,but551.1.wc.18,Yes
bb421.1.spb.21,but551.1.wc.19,Yes
bb421.1.spb.22,but551.1.wc.20,Yes
bb421.1.spb.23,but551.1.wc.21,Yes
but550.1.wc.01,but551.1.wc.01,Yes
but550.1.wc.02,but551.1.wc.02,Yes
but550.1.wc.03,but551.1.wc.03,Yes
but550.1.wc.04,but551.1.wc.04,Yes
but550.1.wc.05,but551.1.wc.05,Yes
but550.1.wc.06,but551.1.wc.06,Yes
but550.1.wc.07,but551.1.wc.07,Yes
but550.1.wc.08,but551.1.wc.08,Yes
but550.1.wc.09,but551.1.wc.09,Yes
but550.1.wc.10,but551.1.wc.10,Yes
but550.1.wc.11,but551.1.wc.11,Yes
but550.1.wc.12,but551.1.wc.12,Yes
but550.1.wc.13,but551.1.wc.13,Yes
but550.1.wc.14,but551.1.wc.14,Yes
but550.1.wc.15,but551.1.wc.15,Yes
but550.1.wc.16,but551.1.wc.16,Yes
but550.1.wc.17,but551.1.wc.17,Yes
but550.1.wc.18,but551.1.wc.18,Yes
but550.1.wc.19,but551.1.wc.19,Yes
but550.1.wc.20,but551.1.wc.20,Yes
but550.1.wc.21,but551.1.wc.21,Yes
but461.1.wc.01,but550.1.wc.13,Yes
but505.1.wc.01,butwba10.1.wc.13,Yes
but461.1.wc.01,but551.1.wc.13,Yes
but461.1.wc.01,but557.1.penc.19,Yes
but527.1.wc.01,but528.1.wc.01,Yes
but527.1.wc.02,but528.1.wc.02,Yes
but527.1.wc.03,but528.1.wc.03,Yes
but527.1.wc.04,but528.1.wc.04,Yes
but527.1.wc.05,but528.1.wc.05,Yes
but527.1.wc.06,but528.1.wc.06,Yes
but527.1.wc.07,but528.1.wc.07,Yes
but527.1.wc.08,but528.1.wc.08,Yes
but536.1.wc.09,but379.1.pt.01,Yes
but536.1.wc.01,but529.1.wc.01,Yes
but536.1.wc.02,but529.1.wc.02,Yes
