title,medium,composition_date,image,copies,bad_id,info,info_filename,virtual,virtual_objects
Water Color Drawings Illustrating the Bible,wc,c. 1780-1824,biblicalwc.jpg,,biblicalwc,"<p>The Bible had an enormous influence on Blake's work as both artist and poet.  Among his many and complex responses to that text are water color drawings.  These range throughout most of Blake's career, beginning with early works such as <i>Abraham and Isaac</i>, datable to c. 1780, and continuing to <i>Moses Placed in the Ark of the Bulrushes</i> of c. 1824.  The main group of biblical water colors is a sequence of about 80 works of similar size painted for Thomas Butts between c. 1800 and c. 1806.  The Old Testament subjects emphasize interactions, both revelatory and punishing, between the human and the divine.  New Testament subjects naturally center on the life of Christ.  Most of the works based on books following the four Gospels, such as <i>The Conversion of Saul</i>, picture moments of revelation.  The water colors painted for Butts include some of Blake's greatest works in that medium, including <i>The Great Red Dragon and the Woman Clothed with the Sun</i> and at least seven other examples of the apocalyptic sublime based on the Book of Revelation.</p><p>  The water colors are arranged here according to the order in Martin Butlin's <i>The Paintings and Drawings of William Blake</i>, a catalogue raisonn&eacute; and standard reference work on Blake.  At some point after 1846, many of the water colors painted for Butts were mounted on backing mats inscribed in handsome script with appropriate passages from the Bible.  Many of these mats have been removed and discarded, but a few of those still extant, such as the mat for <i>Joseph and Potiphar's Wife</i>, have been included under ""Related Works in the Archive"" on the pull-down menu.</p>",biblicalwc.info.xml,1,"but146.1,but435.1,but436.1,but438.1,but439.1,but440.1,but441.1,but442.1,but445.1,but446.1,but447.1,but448.1,but449.1,but450.1,but452.1,but453.1,but455.1,but457.1,but458.1,but461.1,but462.1,but463.1,but466.1,but467.1,but468.1,but469.1,but470.1,but472.1,but473.1,but475.1,but476.1,but478.1,but480.1,but482.1,but484.1,but485.1,but486.1,but488.1,but489.1,but494.1,but495.1,but496.1,but497.1,but498.1,but499.1,but500.1,but501.1,but502.1,but503.1,but504.1,but505.1,but506.1,but507.1,but511.1,but512.1,but515.1,but517.1,but518.1,but519.1,but520.1,but521.1,but522.1,but523.1,but524.1,but525.1"
Letters,ltr,"1800-1805, 1825-27",letters.jpg,,letters,"<p>Letters may be less often treasured and transmitted from generation to generation than works of art. Blake's surviving correspondence begins rather late in his career, in October 1791, the month before he turned 34, when he drops a short note to architect-editor Willey Reveley ""to embrace the offer of engraving such beautiful things""&mdash;drawings by William Pars for the third volume of James Stuart and Nicholas Revett's <i>Antiquities of Athens</i>, 1794&mdash;&amp; will do what he can by the end of January [1792]."" He writes his last letter, as far as we know, the month before his death at age 69 in August 1827&mdash;just three sentences to the friend and benefactor of his final decade, artist John Linnell, to thank him for sending ten pounds and to indicate that his ""journey to Hampstead on Sunday brought on a relapse . . . . however I am upon the mending hand to day &amp; hope soon to look as I did for I have been yellow accompanied by all the old Symptoms.""</p><p>About ninety of Blake's letters survive, an unknown fraction of the total. Several&mdash;ten in the present group of 54&mdash;are known only from partial and full transcriptions in the second, expanded, edition of Alexander Gilchrist's <span style=""font-style:italic"">Life of William Blake</span> (1880). Blake traveled seldom and not very far, and he was little known beyond a small circle of British contemporaries, most of them in London. His circle of correspondents was narrow and the geographical circuit small. Only three correspondents&mdash;friends and patrons Thomas Butts, William Hayley, and John Linnell&mdash;occasion most of the letters. There are none addressed to such erstwhile friends and associates as Thomas Stothard, Joseph Johnson, and Henry Fuseli. No surviving letter traveled outside of England, and most letters simply traveled across town. But Blake's modest body of correspondence comprises an absorbing, revealing miscellany of simple business receipts, accounts, and reports on work in progress alongside friendly and not so friendly exchanges on matters of practical and intellectual substance. Occasionally they burst out into visions that amalgamate, in a characteristic Blakean vein, homely details, intensely energized prose, and inspired poetry.</p><p>Whether or not we concur with Geoffrey Keynes's estimation of Blake's best letters as worthy of ""an honoured place in any anthology of letters by men of genius"" (<i>Letters</i>, page xix), they are indispensable in preserving facts and contexts for his life and work that would be otherwise unknown and in showing him shift pragmatically from role to role in a very natural&mdash;and human&mdash;way, exposing facets of character and personality not always so apparent in his art. If he can be a self-advertising seeker of custom and patronage, he can also be a defensively boastful brother; a maker of excuses; an optimistic, excited participant; a miserable urban artisan trapped in the country, seeking comfort from London friends and patrons; a repatriated but terrified Londoner facing trial on charges of sedition stemming from a confrontation in the provinces&mdash;and now desperately dependent on Thomas Hayley, the Felpham patron whom he had come to resent if not despise.</p> <p>The letters feel closer to the externalities of everyday life than any other work from Blake's hand, and some start out to be one very ordinary thing and end up being another quite extraordinary thing. Blake's resistance to uniformity shows up in the range of expression of his most compelling letters&mdash;those grounded in everyday transactions but punctuated by bursts of artistic expression and intense thought colored by a volatile rainbow of anxiety, relief, stubborn resentment, pride, fury, disappointment, terror, frustration, hope, happiness, and even joy. Most of the letters have plain utilitarian purposes. Blake is not an artist-thinker in correspondence with an international circle; nonetheless, Blake being Blake, he seldom puts pen to paper without interesting consequences for readers, even when the primary aim is perfectly ordinary.</p> <p>G. E. Bentley, Jr., has created a list of letters that Blake may have written but are absent from the present record. See ""William Blake and His Circle: A Checklist of Publications and Discoveries in 2011,"" <i>Blake/An Illustrated Quarterly</i> 46:1 (summer 2012). Untraced letters turn up more often than one might expect.</p>",letters.info.xml,1,"lt18feb1800.1,lt1april1800.1,lt6may1800.1,lt2july1800.1,lt1sept1800.1,lt12sept1800.1,lt14sept1800.1,lt16sept1800.1,lt21sept1800.1,lt26nov1800.1,lt19oct1801.1,lt30jan1803.1,lt26oct1803.1,lt14jan1804.1,lt27jan1804.1,lt23feb1804.1,lt12march1804.1,lt16march1804.1,lt2april1804.1,lt7april1804.1,lt27april1804.1,lt4may1804.1,lt28may1804.1,lt22june1804.1,lt7aug1804.1,lt28sept1804.1,lt23oct1804.1,lt4dec1804.1,lt18dec1804.1,lt22jan1805.1,lt22march1805.1,lt4june1805.1,lt27nov1805.1,lt1825.1,lt7june1825.1,lt11oct1825.1,lt10nov1825.1,lt31jan1826.1,lt5feb1826.1,lt31march1826.1,lt19may1826.1,lt5july1826.1,lt14july1826.1,lt16july1826.1,lt29july1826.1,lt1aug1826.1,lt27jan1827.1,lt1827.1,ltfeb1827.1,lt15march1827.1,lt12april1827.1,lt25april1827.1,lt3july1827.1,lt15aug1827.1"
"Sketches for Robert Blair's ""The Grave""",penc,6/1/1805,gravepd.jpg,,gravepd,"<p>In October 1805, Blake was commissioned by the engraver and would-be publisher Robert H. Cromek to prepare forty drawings illustrating Robert Blair's <i>The Grave</i>, a popular ""Graveyard"" school poem first published in 1743. Cromek planned to select twenty of these designs for a de luxe edition of the poem. In Cromek's first prospectus of November 1805, Blake is named as both the designer and engraver of fifteen designs. Blake etched one image, ""Deaths Door,"" in white-line, but Cromek rejected it. The dark power of the white-line print appeals to modern tastes, but was far from fashionable in the early nineteenth century.  In a second prospectus, also of November 1805, Cromek announced that Louis Schiavonetti would engrave twelve designs for the new edition. Blake had lost the potentially lucrative commission to engrave his own designs; his relationship with Cromek descended into anger and argument.  In spite of their disagreement, Cromek included a portrait of Blake as a frontispiece to the volume, published in 1808. Cromek promoted the book aggressively and the illustrations to <i>The Grave</i> became Blake's best known work through much of the nineteenth century.</p><p>Blake's first drafts of illustrations for <i>The Grave</i> include a number of pencil sketches.  Most are rough first thoughts on paper; some were developed into finished water colors and engraved by Schiavonetti, but other designs were not further developed.  We present here a selection of these pencil sketches.  Selections of Blake's monochrome wash drawings and preliminary water colors for <i>The Grave</i> are also available in the Archive under their respective genre headings.</p><p>For further information on Blake's illustrations to <i>The Grave</i>, see Drawings and Paintings, Water Color Drawings, <a href=""&#xA;/blake/work/butwba10"">Illustrations to Robert Blair's <i>The Grave</i></a>; and Commercial Book Illustrations, Designed by Blake and Engraved by Other Engravers, <a href=""&#xA;/blake/work/bb435"">Robert Blair, <i>The Grave</i></a>.</p>",gravepd.info.xml,1,"but614r.1,but614v.1,but619.1,but621r.1,but623.1,but624r.1,but624v.1,but625.1,but629.1"
Paintings Illustrating the Bible,paint,c. 1799-1803,biblicaltemperas.jpg,,biblicaltemperas,"<p>The Bible had an enormous influence on Blake's work as both artist and poet.  Among his many and complex responses to that text is a group of paintings he created for his patron Thomas Butts, beginning in 1799.  Most were executed in that year and the next, but at least three were probably completed while Blake was in Felpham, 1802 and 1803.  Fifty-three of these ""cabinet paintings"" (as small works of this type were called in Blake's time) have been recorded.  Only thirty are now traceable, seven based on the Old Testament and the remainder on the New.</p><p>The medium of these paintings, now generally called ""tempera,"" is water-based with a glue and/or gum binder.  Blake applied his pigments in multiple layers, including intervening applications of transparent glue or gum.  Outlines were often reinforced with black ink and the finished compositions glazed with glue.  Blake was probably trying to create jewel-like paintings; in his <i>Descriptive Catalogue</i> of 1809, he compared them to ""enamels"" and ""precious stones"" (Erdman page 531).  He never used the word ""tempera"" but called his medium ""fresco""&mdash;a term that recalls Renaissance wall paintings&mdash;and claimed that he had invented the new genre of ""portable Fresco"" (<i>Exhibition of Paintings in Fresco</i>, Erdman pages 527), an alternative to paintings in oil.  Most were executed on canvas, but three are on copper and one (<i>The Agony in the Garden</i>) is on tinned iron.</p><p>Unfortunately, Blake's medium was inherently unstable.  The pigment layers expanded and contracted at different rates.  Almost all his temperas of 1799-1803 show considerable surface cracking and other defects; many have been repaired at least once.  Some, such as <i>The Miracle of the Loaves and Fishes</i>, have been over-painted in ways that misrepresent Blake's original work.</p><p>Blake's biblical temperas of 1799-1803 can be divided into two groups according to size.  Most are approximately 27 x 38 cm., but five of the extant paintings measure about 32.5 x 49.5 cm.  The works in the larger size illustrate the life of Christ and may form their own series.  The four paintings of the Evangelists (two extant) may constitute another sub-category. </p><p>Most of the biblical passages illustrated by these paintings are associated with long-standing iconographic conventions.  Blake appears to have been aware of these traditions, probably learned through reproductive engravings.  Blake's <i>Lot and His Daughters</i> is strikingly similar to Rubens' painting of the scene.  Although Matthew 2.14 does not indicate that Joseph, Mary, and Jesus were accompanied by guardian angels and putti in their journey to Egypt, Blake's <i>The Flight into Egypt</i> includes such figures in accord with many representations of the event from the fifteenth through the eighteenth centuries.</p><p>The paintings are arranged here according to the biblical texts illustrated.  Some of the subjects, including <i>The Christ Child Asleep on a Cross</i>, <i>The Body of Christ Borne to the Tomb</i>, and <i>Christ the Mediator</i>, are not based on specific passages but can be associated with events related in the Bible.</p>",biblicaltemperas.info.xml,1,"but379.1,but381.1,but382.1,but387.1,but390.1,but392.1,but394.1,but396.1,but400.1,but401.1,but403.1,but404.1,but406.1,but409.1,but410.1,but411.1,but415.1,but416.1,but417.1,but419.1,but420.1,but424.1,but425.1,but426.1,but429.1"
"Preliminary Illustrations to Robert Blair's ""The Grave""",wc,c. 1805-07,gravewc.jpg,,gravewc,"<p>In October 1805, Blake was commissioned by the engraver and would-be publisher Robert H. Cromek to prepare forty drawings illustrating Robert Blair's <i>The Grave</i>, a popular ""Graveyard"" school poem first published in 1743. Cromek planned to select twenty of these designs for a de luxe edition of the poem. In Cromek's first prospectus of November 1805, Blake is named as both the designer and engraver of fifteen designs. Blake etched one image, ""Deaths Door,"" in white-line, but Cromek rejected it. The dark power of the white-line print appeals to modern tastes, but was far from fashionable in the early nineteenth century.  In a second prospectus, also of November 1805, Cromek announced that Louis Schiavonetti would engrave twelve designs for the new edition. Blake had lost the potentially lucrative commission to engrave his own designs; his relationship with Cromek descended into anger and argument.  In spite of their disagreement, Cromek included a portrait of Blake as a frontispiece to the volume, published in 1808. Cromek promoted the book aggressively and the illustrations to <i>The Grave</i> became Blake's best known work through much of the nineteenth century.</p><p>Blake's preliminary designs for the <i>Grave</i> illustrations include a few water colors not included in the group of twenty he submitted to Cromek.  We present here six of these preliminary or closely related water colors. Questions have been raised about the authorship of Object 1, <i>An Angel with a Trumpet</i>; Object 6, <i>The Descent of Man into the Vale of Death</i>, may be an independent work that evolved out of the <i>Grave</i> project.  Selections of Blake's pencil sketches and monochrome wash drawings for <i>The Grave</i> are also available in the Archive under their respective genre headings.</p><p>For further information on Blake's illustrations to <i>The Grave</i>, see Drawings and Paintings, Water Color Drawings, <a href=""&#xA;                        /blake/work/butwba10"">Illustrations to Robert Blair's <i>The Grave</i></a>; and Commercial Book Illustrations, Designed by Blake and Engraved by Other Engravers, <a href=""&#xA;                    /blake/work/bb435"">Robert Blair, <i>The Grave</i></a>.</p>",gravewc.info.xml,1,"but611.1,but613.1,but616.1,but620.1,but635.1,but638.1"
The Large Color Printed Drawings of 1795 and c. 1805,cprint,1795,cpd.jpg,,cpd,"<p>Blake's twelve large color prints, first designed and executed in 1795, are often considered to be his greatest works as a pictorial artist. Both their sublime imagery and the printmaking technique Blake used to create them evolved out of his illuminated books of 1790-95. Although at least one of the prints, <i>God Judging Adam</i>, shows evidence of having been printed from a copperplate etched in relief, the other eleven appear to have been painted within pen and ink outlines on gessoed millboards (a thick cardboard) and printed onto large sheets of damp wove paper using a rolling press. From such a prepared matrix Blake was often able to print two impressions (a first and second pull) without repainting the matrix, and he finished all impressions in water colors and pen and ink. No more than three impressions of any one of the twelve designs are extant. After printing, each impression was worked up with pen and ink outlining and water colors. For a full technical description of Blake's large color prints and their relation to the illuminated books and <i>Book of Designs</i>, see Joseph Viscomi, <a href=""http://siteslab.unc.edu//viscomi/Annus_Mirabilis/index.html"">Blake's 'Annus Mirabilis': the Productions of 1795,""</a><i>Blake/An Illustrated Quarterly</i> (fall, 2007): 52-83.</p><p>An impression of <i>Elohim Creating Adam</i> (Butlin 290) and an impression of <i>Nebuchadnezzar</i> (Butlin 304) may be untraced. There are twenty-nine extant impressions of twelve designs, all produced in at least two printings, c. 1795 and c. 1804-05. It is possible that, c. 1805, Blake added more hand outlining and tinting to some impressions printed in 1795. No design has more than three extant impressions. As with the illuminated books, each impression is different due to variations in color printing and finishing.</p><p>Modern scholars have interpreted the connections among the designs and their iconography, but no interpretation has become definitive. It seems as though the twelve subjects are not a series with a fixed sequence, but rather a group of designs centered upon images of the fallen world. Within that group are a few companion prints, such as <i>Elohim Creating Adam</i> and <i>Satan Exulting over Eve</i>, associated in subject, design, or both. The textual sources for the images range from the Bible to Shakespeare, Milton, and Blake's own poetic mythologies of the mid-1790s.</p><p>The large color prints are widely dispersed. The Archive contains all 29 extant impressions of the twelve designs. Eleven prints are drawn from the Tate Collection, by far the largest single collection; the others are from the British Museum; the Collection of Robert N. Essick; the Fitzwilliam Museum; the J. Paul Getty Museum; the Philadelphia Museum of Art; the Minneapolis Institute of Arts; the Henry E. Huntington Library and Art Gallery; the Metropolitan Museum of Art, New York; the Museum of Fine Arts, Boston; the National Gallery of Art, Washington; the National Gallery of Scotland; a private collection; the Victoria and Albert Museum; and the Yale Center for British Art.</p>",cpd.info.xml,1,"but325.1,but326.1,but327.1,but289.1,but294.1,but295.1,but296.1,but323.1,but324.1,but316.1,but317.1,but318.1,but320.1,but321.1,but322.1,but297.1,but298.1,but299.1,but300.1,but301.1,but302.1,but303.1,but306.1,but307.1,but313.1,but310.1,but311.1,but312.1,but291.1,but292.1"
"Drawings for Robert Blair's ""The Grave""",mono,1805,gravewd.jpg,,gravewd,"<p>In October 1805, Blake was commissioned by the engraver and would-be publisher Robert H. Cromek to prepare forty drawings illustrating Robert Blair's <i>The Grave</i>, a popular ""Graveyard"" school poem first published in 1743. Cromek planned to select twenty of these designs for a de luxe edition of the poem. In Cromek's first prospectus of November 1805, Blake is named as both the designer and engraver of fifteen designs. Blake etched one image, ""Deaths Door,"" in white-line, but Cromek rejected it. The dark power of the white-line print appeals to modern tastes, but was far from fashionable in the early nineteenth century.  In a second prospectus, also of November 1805, Cromek announced that Louis Schiavonetti would engrave twelve designs for the new edition. Blake had lost the potentially lucrative commission to engrave his own designs; his relationship with Cromek descended into anger and argument.  In spite of their disagreement, Cromek included a portrait of Blake as a frontispiece to the volume, published in 1808. Cromek promoted the book aggressively and the illustrations to <i>The Grave</i> became Blake's best known work through much of the nineteenth century.</p><p>Blake's preliminary designs for the <i>Grave</i> illustrations include a few monochrome wash drawings.  We present here two of these works.  Object 1, <i>An Angel Awakening the Dead with a Trumpet</i>, may be an alternative version of the title page for Blake's illustrations to <i>The Grave</i> or possibly a design for the ""characteristic Frontispiece"" Cromek listed in his first prospectus.  Object 2, <i>The Gambols of Ghosts According with Their Affections Previous to the Final Judgment</i>, was developed into a finished water color Blake submitted to Cromek, but it was not chosen for publication in the 1808 volume.  Selections of Blake's pencil sketches and preliminary water colors for <i>The Grave</i> are also available in the Archive under their respective genre headings.</p><p>For further information on Blake's illustrations to <i>The Grave</i>, see Drawings and Paintings, Water Color Drawings, <a href=""&#xA; /blake/work/butwba10"">Illustrations to Robert Blair's <i>The Grave</i></a>; and Commercial Book Illustrations, Designed by Blake and Engraved by Other Engravers, <a href=""&#xA;                        /blake/work/bb435"">Robert Blair, <i>The Grave</i></a>.</p>",gravewd.info.xml,1,"but612.1,but636.1"
Pen and Ink Drawings,penink,1774-c. 1825,pid.jpg,,pid,,pid.info.xml,1,"but1.1,but6.1,but85v.1,but86v.1,btu94.1,but99.1,but100.1,but118r.1,but119Ar.1,but120r.1,but122v.1,but174.1,but175.1,but178r.1,but370.1,but773.1,but801.1"
Blake's Illustrations of Dante,spb,1826-27,bb448.1.2-1.ps.100.jpg,bb448.1,bb448,"<p>Blake began to compose 102 water color illustrations to Dante's <i>Divine Comedy</i> in the fall of 1824 for his patron John Linnell. From these Blake selected 7 designs to engrave. The choice of subjects, all from the ""Inferno,"" may have been recommended, or at least approved, by Linnell. There may have been plans to engrave more designs, but even these 7 plates were left incomplete at Blake's death in 1827. The copperplates became Linnell's possession, but it was not until 1838 that he had sets printed for sale.</p><p>Like Blake's Job engravings, the Dante plates are pure line engravings without preliminary etching. Although it is difficult to determine Blake's stylistic intentions from unfinished plates, the Dante engravings suggest the influence of Renaissance Italian prints, including the dramatic ""broad manner"" work of Andrea Mantegna, the artist called ""the Dante of his profession"" by Blake's friend George Cumberland. See also the introductory comments on the Dante water colors in the Archive under Non-Illuminated Materials/ Drawings and Paintings/ Water Color Drawings.</p>",bb448.info.xml,0,
"Illustrations to Milton's ""Paradise Lost"", The Thomas Set",wc,1807,but529.1.1.wc.100.jpg,but529.1,but529,"<p>The poetry of John Milton was important to Blake as both poet and artist from his earliest years.  As he told John Flaxman in a letter of 12 September 1800, ""Milton lovd me in childhood &amp; shewd me his face"" (Erdman page 707).  Several early drawings, such as the <i>Satan, Sin, and Death</i> of c. 1780 (Butlin 101), were probably inspired by Milton.  In 1790-92, Blake loosely sketched several illustrations to <i>Paradise Lost</i> in his Notebook (Butlin 201; see Related Works, below).  He composed his first series of water colors illustrating one of Milton's poems in 1801 when the Rev. Joseph Thomas commissioned the eight designs for <i>Comus</i> (Butlin 527).  In 1807, Blake produced the set of <i>Paradise Lost</i> designs presented here (Butlin 529, sometimes called the ""small"" set).  These were also acquired, and probably commissioned, by Thomas.  The date of composition is established by the ""1807"" date inscribed on five of the designs.  Blake executed another series of twelve <i>Paradise Lost</i> designs, with a larger format, in 1808 for his chief patron Thomas Butts (Butlin 536).  In this later group, eleven of the designs are variants of those in the Thomas set, but the fourth design of 1807, ""Satan Spying on Adam and Eve and Raphael's Descent into Paradise,"" is replaced with a different subject, ""Adam and Eve Asleep.""  Blake began a third series of <i>Paradise Lost</i> designs for John Linnell in 1822 (Butlin 537), but apparently completed only the three water colors now extant.</p><p>Here, as usual in his work as an illustrator of other poets' works, Blake paid close attention to the text, but this disciplined approach did not preclude his own interpretations.  For example, Blake's choice of subjects places greater emphasis on Christ's role in Milton's epic than most series of eighteenth- and nineteenth-century illustrations of <i>Paradise Lost</i>. </p><p>Blake's literary response to the life and works of John Milton finds its fullest expression in the illuminated book <i>Milton a Poem</i>.</p>",but529.info.xml,0,
