desc_id,dbi,bad_id,virtual_group,same_matrix_ids,same_production_sequence_ids,similar_design_ids,reference_object_ids,reference_copy_ids,reference_work_ids,supplemental_ids
gates-sexes.f.illbk.1,gates-sexes.F.P1-2,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P2-1,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P3,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P4,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P5,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P6,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P7,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P8,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P9,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P10,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P11,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P12,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P13,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P14,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P15,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P16,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P17,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P18,gates-sexes.f,gates-sexes,,,,,,,
gates-sexes.f.illbk.1,gates-sexes.F.P19-21,gates-sexes.f,gates-sexes,,,,,,,
